Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Barbell Front Rack Isometric Split Squat Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Barbell,Isometric Split Squat,Double Arm,Continuous,Pronated
Barbell Front Rack Isometric Split Squat Foot Elevated Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Barbell,Isometric Split Squat,Double Arm,Continuous,Pronated
Single Arm Dumbbell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Dumbbell,Single Leg Standing,Single Arm,Continuous,Hand Assisted
Double Kettlebell Straddle L Sit,Advanced,Abdominals,Rectus Abdominis,,,Kettlebell,L Sit,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Isometric Split Squat Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Dumbbell,Isometric Split Squat,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Isometric Split Squat Foot Elevated Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Dumbbell,Isometric Split Squat,Double Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,Standing,Single Arm,Continuous,Neutral
Bodyweight Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Double Dumbbell Suitcase Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Cable V Grip Seated Low Row,Beginner,Back,Latissimus Dorsi,,,Cable,Seated,Double Arm,Continuous,Neutral
Resistance Band Half Kneeling Face Pull,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,Half Kneeling,Double Arm,Continuous,Pronated
Bodyweight Prone Cobra,Beginner,Back,Erector Spinae ,,,Bodyweight,Prone,Double Arm,Continuous,No Grip
Barbell Hang Power Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Hang Squat Snatch,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Seated Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Dumbbell,Seated,Double Arm,Continuous,Neutral
Single Arm Dumbbell Seated Concentration Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Seated,Single Arm,Continuous,Supinated
Alternating Double Dumbbell Seated Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Seated,Double Arm,Alternating,Supinated
Alternating Double Dumbbell Front Raise,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Dumbbell,Standing,Double Arm,Alternating,Pronated
Cable Wide Grip Lat Pulldown,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Cable,Seated,Double Arm,Continuous,Pronated
Cable Reverse Grip Lat Pulldown,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Cable,Seated,Double Arm,Continuous,Supinated
Cable V Grip Lat Pulldown,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Cable,Seated,Double Arm,Continuous,Neutral
Bodyweight Bicycle Crunch,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,Supine,No Arms,Alternating,Head Supported
Bodyweight Broad Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Forearm Plank,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,Prone,Double Arm,Continuous,Forearm
Parallette Plank,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Double Clubbell Clean to Shoulder Park Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Shoulder Park Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Clubbell Shoulder Park Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,Standing,Single Arm,Continuous,Neutral
Clubbell Swing to Alternating Shoulder Park Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Dumbbell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Single Arm,Continuous,Pronated
Double Dumbbell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Double Arm,Continuous,Pronated
Barbell Split Jerk,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Barbell,Staggered Stance,Double Arm,Continuous,Pronated
Barbell Power Clean to Split Jerk,Expert,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell,Staggered Stance,Double Arm,Continuous,Pronated
Double Dumbbell Incline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Seated,Double Arm,Continuous,Pronated
Barbell Power Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Squat Jerk,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Barbell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Kettlebell,Standing,Double Arm,Continuous,Neutral
Bodyweight Seated Wall Angels,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Bodyweight,Seated Floor,Double Arm,Continuous,No Grip
Parallette Kneeling Close Grip Push Up,Beginner,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,Kneeling,Double Arm,Continuous,Pronated
Double Kettlebell Shrug,Beginner,Trapezius ,Upper Trapezius,Levator Scapulae,Rhomboids,Kettlebell,Standing,Double Arm,Continuous,Neutral
Bodyweight Alternating Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Split Squat,No Arms,Continuous,No Grip
Suspension Y Raise,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer,Standing,Double Arm,Continuous,Pronated
Bodyweight Standing Wall Angels,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Bodyweight,Standing,Double Arm,Continuous,No Grip
Double Kettlebell Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Kettlebell,Prone,Double Arm,Continuous,Neutral
Bodyweight Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Split Squat,No Arms,Continuous,No Grip
Bodyweight Duck Walk,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Barbell Front Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Split Squat,Double Arm,Continuous,Pronated
Barbell Overhead Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Split Squat,Double Arm,Continuous,Pronated
Double Dumbbell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Dumbbell,Staggered Stance,Double Arm,Continuous,Neutral
Suspension Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Double Arm,Continuous,Pronated
Single Arm Dumbbell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Dumbbell,Staggered Stance,Single Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Bodyweight Copenhagen Plank Side Raise,Intermediate,Adductors,Adductor Magnus,,,Bodyweight,Side Plank,Single Arm,Continuous,Forearm
Bodyweight Copenhagen Plank with Leg Lift,Intermediate,Adductors,Adductor Magnus,,,Bodyweight,Side Plank,Single Arm,Continuous,Forearm
Double Dumbbell Chest Fly,Beginner,Chest,Pectoralis Major,Anterior Deltoids,Biceps Brachii,Dumbbell,Supine,Double Arm,Continuous,Neutral
Double Dumbbell Decline Bench Chest Fly,Beginner,Chest,Pectoralis Major,Anterior Deltoids,Biceps Brachii,Dumbbell,Supine,Double Arm,Continuous,Neutral
Double Kettlebell Suitcase Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Feet Elevated Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Kettlebell,Standing,Double Arm,Continuous,Neutral
Dumbbell Crush Grip Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,Standing,Double Arm,Continuous,Crush Grip
Double Kettlebell Front Rack Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Posterior,Kettlebell,Standing,Double Arm,Continuous,Neutral
Dumbbell Crush Grip Bicep Curl to Overhead Press,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,,Dumbbell,Standing,Double Arm,Continuous,Crush Grip
Dumbbell Crush Grip Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,Standing,Double Arm,Continuous,Crush Grip
Dumbbell Crush Grip Floor Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell,Supine,Double Arm,Continuous,Crush Grip
Dumbbell Crush Grip Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Rectus Abdominis,Dumbbell,Standing,Double Arm,Continuous,Crush Grip
Double Kettlebell Suitcase Isometric Split Squat Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Kettlebell,Isometric Split Squat,Double Arm,Continuous,Neutral
Bodyweight Single Leg Hip Thrust,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,Single Leg Bridge,No Arms,Continuous,No Grip
Stability Ball Single Leg Hip Thrust,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Stability Ball,Single Leg Bridge,No Arms,Continuous,No Grip
Double Kettlebell Suitcase Isometric Split Squat Foot Elevated Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Kettlebell,Isometric Split Squat,Double Arm,Continuous,Neutral
Single Arm Kettlebell Suitcase Hand Assisted Ipsilateral Foot Elevated Single Leg Calf Raise,Novice,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Kettlebell,Single Leg Standing,Single Arm,Continuous,Hand Assisted
Double Kettlebell Front Rack Isometric Split Squat Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Kettlebell,Isometric Split Squat,Double Arm,Continuous,Neutral
Cable V Grip Seated Floor Lat Pulldown,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Cable,Seated Floor,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Isometric Split Squat Foot Elevated Calf Raise,Advanced,Calves,Soleus,Gastrocnemius,Quadriceps Femoris,Kettlebell,Isometric Split Squat,Double Arm,Continuous,Neutral
Battle Rope Alternating Wave,Beginner,Biceps,Biceps Brachii,,,Battle Ropes,Standing,Double Arm,Alternating,Neutral
Cable Rope Tall Kneeling Tricep Pushdown,Beginner,Triceps,Triceps Brachii ,Anconeus,Brachioradialis,Cable,Tall Kneeling,Double Arm,Continuous,Neutral
Bodyweight Feet Elevated Calf Raise,Beginner,Calves,Gastrocnemius,Soleus,Tibialis Anterior,Bodyweight,Standing,No Arms,Continuous,No Grip
Stability Ball Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Stability Ball,Prone,Double Arm,Continuous,Flat Palm
Bodyweight Frog Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Bodyweight,Prone,Double Arm,Continuous,Neutral
Bodyweight Reverse Hyperextension,Novice,Glutes,Gluteus Maximus,,,Bodyweight,Prone,Double Arm,Continuous,Neutral
Cable Rope Tall Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,Tall Kneeling,Double Arm,Continuous,Pronated
Bodyweight V Up,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,Supine,Double Arm,Continuous,No Grip
Slider Barbell Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Pronated
Slider Barbell Back Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Pronated
Slider Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,No Arms,Continuous,No Grip
Barbell Push Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Power Clean to Push Jerk,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Squat Clean to Push Jerk,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,Standing,Double Arm,Continuous,Pronated
Single Arm Kettlebell Outside Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Suitcase Alternating Forward Lunge Pass Through,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Alternating,Neutral
Single Arm Kettlebell Suitcase Alternating Reverse Lunge Pass Through,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Standing,Single Arm,Alternating,Neutral
Single Arm Kettlebell Contralateral Forward Lunge Snatch,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell,Standing,Single Arm,Continuous,Pronated
Single Arm Kettlebell Alternating Forward Lunge Snatch,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell,Standing,Single Arm,Continuous,Pronated
Double Kettlebell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Cable Straight Bar Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Standing,Double Arm,Continuous,Supinated
Double Kettlebell Glute Bridge Isometric Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Gluteus Maximus,Kettlebell,Bridge,Double Arm,Continuous,Pronated
Slider Single Arm Dumbbell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Dumbbell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Dumbbell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Dumbbell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Dumbbell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Double Dumbbell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Slider Double Dumbbell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Slider Double Dumbbell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,Standing,Double Arm,Continuous,Neutral
Alternating Double Dumbbell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Double Arm,Alternating,Pronated
Slider Single Arm Clubbell Order Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Clubbell Order Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Double Clubbell Order Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Slider Clubbell Order Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Slider Macebell Order Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Neutral
Slider Single Arm Macebell Order Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Macebell Order Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Landmine Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Goblet
Slider Landmine Shoulder Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Landmine Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Landmine Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Landmine Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Landmine Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Landmine Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Landmine Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Suspension Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,Standing,Double Arm,Continuous,Neutral
Alternating Double Dumbbell Incline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Seated,Double Arm,Alternating,Pronated
Alternating Double Dumbbell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Double Arm,Alternating,Pronated
Miniband Glute Bridge,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,Bridge,No Arms,Continuous,No Grip
Alternating Double Dumbbell Top Down Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Double Arm,Alternating,Pronated
Alternating Double Dumbbell Top Down Incline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Seated,Double Arm,Alternating,Pronated
Alternating Double Dumbbell Top Down Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,Supine,Double Arm,Alternating,Pronated
Bar Dead Hang,Beginner,Forearms,Brachioradialis,Latissimus Dorsi,Teres Major,Pull Up Bar,Hanging,Double Arm,Continuous,Pronated
Trap Bar Deadlift,Novice,Back,Latissimus Dorsi,,,Trap Bar,Standing,Double Arm,Continuous,Neutral
Trap Bar Staggered Stance Deadlift,Novice,Back,Latissimus Dorsi,,,Trap Bar,Staggered Stance,Double Arm,Continuous,Neutral
Resistance Band Alternating Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band,Standing,Double Arm,Alternating,Supinated
